UMAP_1,UMAP_2,Record_ID,Population_Stratum,Week End,ZIP Code,Latitude,Longitude,Case Rate - Cumulative
-4.40374,8.350932,55.0,Q2_Medium,2021-01-09,60607,41.876104,-87.652727,6897.4
-5.065924,7.8255568,56.0,Q2_Medium,2021-05-22,60607,41.876104,-87.652727,9107.5
11.642923,16.36259,57.0,Q2_Medium,2024-01-13,60610,41.90455,-87.63581,30662.0
11.646684,16.358484,58.0,Q2_Medium,2024-02-03,60610,41.90455,-87.63581,30772.2
-5.0831065,7.814617,59.0,Q2_Medium,2021-07-10,60607,41.876104,-87.652727,9195.4
-5.247895,7.623432,60.0,Q2_Medium,2021-12-11,60607,41.876104,-87.652727,12091.5
11.654458,16.35165,61.0,Q2_Medium,2024-03-02,60610,41.90455,-87.63581,30905.5
12.829243,15.905876,62.0,Q3_High,2024-04-13,60613,41.953742,-87.661343,28421.8
6.2458663,5.4709396,63.0,Q4_Very_High,2021-03-13,60614,41.922605,-87.652064,6927.7
11.638286,16.369858,64.0,Q2_Medium,2024-04-20,60610,41.90455,-87.63581,31066.9
10.567077,0.37312365,65.0,Q4_Very_High,2021-02-13,60608,41.849879,-87.670366,9196.4
11.080418,3.5176976,66.0,Q4_Very_High,2022-01-08,60608,41.849879,-87.670366,17264.1
17.397326,3.0973244,67.0,Q4_Very_High,2022-04-16,60608,41.849879,-87.670366,19553.1
-9.999692,4.9948626,68.0,Q2_Medium,2024-02-24,60607,41.876104,-87.652727,32624.8
14.221477,1.3360178,69.0,Q4_Very_High,2022-04-30,60608,41.849879,-87.670366,19829.6
14.222319,1.3383242,70.0,Q4_Very_High,2022-05-21,60608,41.849879,-87.670366,20511.3
14.218321,1.3384479,71.0,Q4_Very_High,2022-06-11,60608,41.849879,-87.670366,21209.5
6.323409,5.4402447,72.0,Q4_Very_High,2021-03-20,60614,41.922605,-87.652064,7118.4
6.3469133,5.471003,73.0,Q4_Very_High,2021-03-27,60614,41.922605,-87.652064,7405.9
6.4662795,5.4658203,74.0,Q4_Very_High,2021-04-10,60614,41.922605,-87.652064,7872.9
6.632523,5.4207006,75.0,Q4_Very_High,2021-04-17,60614,41.922605,-87.652064,8006.1
6.6827345,5.5011344,76.0,Q4_Very_High,2021-04-24,60614,41.922605,-87.652064,8121.1
6.7940655,5.529076,77.0,Q4_Very_High,2021-05-15,60614,41.922605,-87.652064,8262.7
6.9110713,5.551615,78.0,Q4_Very_High,2021-05-22,60614,41.922605,-87.652064,8304.8
6.9082646,5.553387,79.0,Q4_Very_High,2021-05-29,60614,41.922605,-87.652064,8316.0
6.921714,5.5560846,80.0,Q4_Very_High,2021-06-19,60614,41.922605,-87.652064,8331.5
6.936181,5.5626087,81.0,Q4_Very_High,2021-07-03,60614,41.922605,-87.652064,8355.3
6.9176135,5.5650067,82.0,Q4_Very_High,2021-07-17,60614,41.922605,-87.652064,8407.2
3.21479,-1.029066,83.0,Q3_High,2020-05-23,60609,41.812017,-87.653382,2520.5
3.3811688,-1.1617087,84.0,Q3_High,2020-06-13,60609,41.812017,-87.653382,2902.7
3.5131767,-1.1733799,85.0,Q3_High,2020-07-18,60609,41.812017,-87.653382,3242.5
8.818457,-3.0667808,86.0,Q3_High,2021-10-30,60609,41.812017,-87.653382,13344.2
8.820075,-3.068903,87.0,Q3_High,2021-11-13,60609,41.812017,-87.653382,13537.7
8.674365,-3.0753126,88.0,Q3_High,2021-12-18,60609,41.812017,-87.653382,14902.0
12.146566,-1.115418,89.0,Q3_High,2022-03-12,60609,41.812017,-87.653382,21257.0
12.158524,-1.1206269,90.0,Q3_High,2022-04-23,60609,41.812017,-87.653382,21546.5
14.269028,-1.4054053,91.0,Q3_High,2022-06-25,60609,41.812017,-87.653382,23229.5
12.132923,-1.1213598,92.0,Q3_High,2022-01-22,60609,41.812017,-87.653382,20627.7
14.25666,-1.4185413,93.0,Q3_High,2022-07-30,60609,41.812017,-87.653382,24200.3
14.281304,-1.3908036,94.0,Q3_High,2022-08-27,60609,41.812017,-87.653382,24857.3
14.393626,-1.2533062,95.0,Q3_High,2022-09-17,60609,41.812017,-87.653382,25311.0
14.387864,-1.2567964,96.0,Q3_High,2022-09-24,60609,41.812017,-87.653382,25416.7
-2.5383544,8.952972,97.0,Q2_Medium,2020-08-29,60610,41.90455,-87.63581,1358.3
-2.5601065,8.984031,98.0,Q2_Medium,2020-09-05,60610,41.90455,-87.63581,1445.4
-2.5573921,8.970713,99.0,Q2_Medium,2020-09-12,60610,41.90455,-87.63581,1537.7
-2.565598,8.997907,100.0,Q2_Medium,2020-10-10,60610,41.90455,-87.63581,2006.7
6.894751,5.5294156,101.0,Q4_Very_High,2021-07-24,60614,41.922605,-87.652064,8478.7
-2.55874,9.050526,102.0,Q2_Medium,2020-10-24,60610,41.90455,-87.63581,2401.4
-2.4289186,11.758983,103.0,Q2_Medium,2020-11-14,60610,41.90455,-87.63581,4187.7
-2.3394904,12.053186,104.0,Q2_Medium,2020-12-19,60610,41.90455,-87.63581,5771.5
-2.3377888,12.065866,105.0,Q2_Medium,2021-01-02,60610,41.90455,-87.63581,6179.0
-2.2635124,12.243954,106.0,Q2_Medium,2021-03-20,60610,41.90455,-87.63581,7916.7
-2.2054787,12.357029,107.0,Q2_Medium,2021-04-24,60610,41.90455,-87.63581,8964.9
-2.1272366,12.524737,108.0,Q2_Medium,2021-05-15,60610,41.90455,-87.63581,9213.5
-2.3160138,12.112564,109.0,Q2_Medium,2021-01-16,60610,41.90455,-87.63581,6732.6
-2.1212087,12.54109,110.0,Q2_Medium,2021-05-29,60610,41.90455,-87.63581,9282.7
-2.1246855,12.531074,111.0,Q2_Medium,2021-06-05,60610,41.90455,-87.63581,9308.3
-2.1174345,12.54805,112.0,Q2_Medium,2021-06-19,60610,41.90455,-87.63581,9344.2
-2.117105,12.548469,113.0,Q2_Medium,2021-06-26,60610,41.90455,-87.63581,9357.0
-2.1177728,12.544809,114.0,Q2_Medium,2021-07-24,60610,41.90455,-87.63581,9480.0
-2.3059242,12.14674,115.0,Q2_Medium,2021-01-23,60610,41.90455,-87.63581,6935.1
7.001726,-6.130601,116.0,Q2_Medium,2021-10-16,60610,41.90455,-87.63581,11081.8
6.9837675,-6.148112,117.0,Q2_Medium,2021-10-23,60610,41.90455,-87.63581,11145.9
6.999669,-6.127677,118.0,Q2_Medium,2021-11-06,60610,41.90455,-87.63581,11384.2
6.9993033,-6.1277623,119.0,Q2_Medium,2021-11-13,60610,41.90455,-87.63581,11517.5
7.000997,-6.1272507,120.0,Q2_Medium,2021-11-20,60610,41.90455,-87.63581,11717.4
7.002671,-6.130823,121.0,Q2_Medium,2021-11-27,60610,41.90455,-87.63581,11876.3
7.001316,-6.1273475,122.0,Q2_Medium,2021-12-04,60610,41.90455,-87.63581,12145.4
7.003446,-6.1340632,123.0,Q2_Medium,2021-12-11,60610,41.90455,-87.63581,12504.2
1.7099104,4.667599,124.0,Q2_Medium,2021-12-18,60610,41.90455,-87.63581,13788.2
1.7396122,4.6816373,125.0,Q2_Medium,2021-12-25,60610,41.90455,-87.63581,15625.7
1.7258288,4.6717863,126.0,Q2_Medium,2022-01-01,60610,41.90455,-87.63581,16963.5
-2.2819772,12.20447,127.0,Q2_Medium,2021-02-13,60610,41.90455,-87.63581,7314.4
-2.2715409,12.231014,128.0,Q2_Medium,2021-02-20,60610,41.90455,-87.63581,7411.8
1.7216686,4.674527,129.0,Q2_Medium,2022-01-08,60610,41.90455,-87.63581,18260.3
4.6732283,-5.486014,130.0,Q2_Medium,2022-03-12,60610,41.90455,-87.63581,20285.0
4.7083755,-5.5228467,131.0,Q2_Medium,2022-04-30,60610,41.90455,-87.63581,21453.7
4.71678,-5.5272374,132.0,Q2_Medium,2022-05-07,60610,41.90455,-87.63581,21861.1
4.802797,-5.6196938,133.0,Q2_Medium,2022-05-14,60610,41.90455,-87.63581,22281.5
4.65111,-5.4464865,134.0,Q2_Medium,2022-01-15,60610,41.90455,-87.63581,18988.2
4.74037,-5.55877,135.0,Q2_Medium,2022-05-21,60610,41.90455,-87.63581,22691.5
4.743472,-5.561308,136.0,Q2_Medium,2022-05-28,60610,41.90455,-87.63581,23127.2
4.7502103,-5.569187,137.0,Q2_Medium,2022-06-04,60610,41.90455,-87.63581,23404.0
4.8494253,-5.6763215,138.0,Q2_Medium,2022-06-11,60610,41.90455,-87.63581,23601.3
4.9295826,-5.762075,139.0,Q2_Medium,2022-06-18,60610,41.90455,-87.63581,23826.9
4.6610727,-5.462392,140.0,Q2_Medium,2022-01-22,60610,41.90455,-87.63581,19421.3
4.6683316,-5.482531,141.0,Q2_Medium,2022-01-29,60610,41.90455,-87.63581,19739.1
5.3025336,-6.1211762,142.0,Q2_Medium,2022-10-08,60610,41.90455,-87.63581,26384.6
5.3190846,-6.134395,143.0,Q2_Medium,2022-10-15,60610,41.90455,-87.63581,26464.0
5.439584,-6.216754,144.0,Q2_Medium,2022-12-03,60610,41.90455,-87.63581,27253.4
5.4643335,-6.2345963,145.0,Q2_Medium,2022-12-10,60610,41.90455,-87.63581,27368.7
4.6663847,-5.476964,146.0,Q2_Medium,2022-02-05,60610,41.90455,-87.63581,19915.9
5.4774113,-6.2438407,147.0,Q2_Medium,2022-12-17,60610,41.90455,-87.63581,27535.3
5.495337,-6.255506,148.0,Q2_Medium,2022-12-24,60610,41.90455,-87.63581,27681.4
5.494152,-6.2523513,149.0,Q2_Medium,2022-12-31,60610,41.90455,-87.63581,27786.5
4.6674323,-5.4792256,150.0,Q2_Medium,2022-02-12,60610,41.90455,-87.63581,20033.8
4.642951,-5.452037,151.0,Q2_Medium,2022-02-19,60610,41.90455,-87.63581,20110.7
4.672987,-5.481652,152.0,Q2_Medium,2022-02-26,60610,41.90455,-87.63581,20167.1
4.6716785,-5.4791493,153.0,Q2_Medium,2022-03-05,60610,41.90455,-87.63581,20226.0
5.6762505,-6.361591,154.0,Q2_Medium,2023-03-11,60610,41.90455,-87.63581,28583.5
5.6663527,-6.357424,155.0,Q2_Medium,2023-03-18,60610,41.90455,-87.63581,28652.7
5.6704288,-6.360102,156.0,Q2_Medium,2023-03-25,60610,41.90455,-87.63581,28693.7
5.586941,-6.31012,157.0,Q2_Medium,2023-01-14,60610,41.90455,-87.63581,27960.7
7.2727437,4.9783597,158.0,Q4_Very_High,2021-08-07,60614,41.922605,-87.652064,8711.5
7.2524867,4.999881,159.0,Q4_Very_High,2021-08-14,60614,41.922605,-87.652064,8877.0
7.252044,4.993059,160.0,Q4_Very_High,2021-08-21,60614,41.922605,-87.652064,9034.0
5.626123,-6.330237,161.0,Q2_Medium,2023-01-28,60610,41.90455,-87.63581,28081.2
5.6433907,-6.3435674,162.0,Q2_Medium,2023-02-18,60610,41.90455,-87.63581,28319.5
5.680182,-6.3654017,163.0,Q2_Medium,2023-03-04,60610,41.90455,-87.63581,28486.1
11.645055,16.360332,164.0,Q2_Medium,2024-01-20,60610,41.90455,-87.63581,30690.2
11.647281,16.359594,165.0,Q2_Medium,2024-02-17,60610,41.90455,-87.63581,30828.6
7.288529,4.9593697,166.0,Q4_Very_High,2021-09-11,60614,41.922605,-87.652064,9407.1
6.2068014,5.4459915,167.0,Q4_Very_High,2021-03-06,60614,41.922605,-87.652064,6814.1
11.514532,4.0825686,168.0,Q4_Very_High,2022-01-08,60614,41.922605,-87.652064,16571.8
12.898573,4.2480354,169.0,Q4_Very_High,2022-03-12,60614,41.922605,-87.652064,18608.0
12.91491,4.231071,170.0,Q4_Very_High,2022-03-19,60614,41.922605,-87.652064,18709.0
14.610409,-8.091842,171.0,Q3_High,2024-01-13,60616,41.844869,-87.629531,23911.2
12.948806,4.202316,172.0,Q4_Very_High,2022-04-02,60614,41.922605,-87.652064,19051.2
12.951189,4.199602,173.0,Q4_Very_High,2022-04-09,60614,41.922605,-87.652064,19300.8
13.033331,4.1181293,174.0,Q4_Very_High,2022-04-30,60614,41.922605,-87.652064,20241.8
13.074638,4.091551,175.0,Q4_Very_High,2022-05-07,60614,41.922605,-87.652064,20711.6
13.105151,4.059056,176.0,Q4_Very_High,2022-05-14,60614,41.922605,-87.652064,21231.8
13.131311,4.0363703,177.0,Q4_Very_High,2022-05-28,60614,41.922605,-87.652064,22008.8
-11.5300255,9.920133,178.0,Q1_Low,2024-01-20,60606,41.882634,-87.63676,41373.8
-2.8987675,10.383002,179.0,Q2_Medium,2020-10-17,60611,41.894734,-87.620291,1727.0
-2.5994136,11.517369,180.0,Q2_Medium,2021-01-09,60611,41.894734,-87.620291,5372.2
-2.6796143,11.4842615,181.0,Q2_Medium,2021-03-13,60611,41.894734,-87.620291,6201.8
-2.7252982,11.431459,182.0,Q2_Medium,2021-04-10,60611,41.894734,-87.620291,6744.6
-2.744741,11.408976,183.0,Q2_Medium,2021-04-17,60611,41.894734,-87.620291,6867.9
-2.8419359,11.2914505,184.0,Q2_Medium,2021-05-29,60611,41.894734,-87.620291,7151.7
-2.8509629,11.281081,185.0,Q2_Medium,2021-06-19,60611,41.894734,-87.620291,7185.6
6.892438,16.567095,186.0,Q2_Medium,2024-01-13,60612,41.88004,-87.687011,32459.0
13.770467,-6.456208,187.0,Q3_High,2024-01-20,60609,41.812017,-87.653382,29412.1
-2.849188,11.278645,188.0,Q2_Medium,2021-07-10,60611,41.894734,-87.620291,7222.6
-2.8030171,11.321443,189.0,Q2_Medium,2021-07-17,60611,41.894734,-87.620291,7278.1
-2.8265696,11.278691,190.0,Q2_Medium,2021-07-24,60611,41.894734,-87.620291,7361.4
-3.5654857,6.866445,191.0,Q2_Medium,2021-08-21,60611,41.894734,-87.620291,7833.2
-3.5737982,6.844977,192.0,Q2_Medium,2021-09-18,60611,41.894734,-87.620291,8191.0
-3.5716388,6.843861,193.0,Q2_Medium,2021-09-25,60611,41.894734,-87.620291,8277.3
