Record_ID,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12
11666.0,0.20136724090784797,0.2465713008493518,0.02489941547103925,0.4142972625333397,0.03300180831826401,0.18123176733448637,0.17382088854768185,0.23500000000000001,0.19340659340659344,0.23047065529743804,0.9026969311744466,0.823395163700618
11667.0,0.16431501230516818,0.2465713008493518,0.14954831853032718,0.33806464225811905,0.08001808318264014,0.13764409836917388,0.13201561742224177,0.11199999999999999,0.2087912087912088,0.23047065529743804,0.9026969311744466,0.6372496178589011
11668.0,0.01249658189773038,0.006991506481895395,0.0009109542245502164,0.9067464596641432,0.0,0.028804827898483487,0.9743266778322532,0.0,0.07472527472527472,0.7855283339307562,0.6339154288772733,0.9204869313371541
11669.0,0.2032813781788351,0.2465713008493518,0.02489941547103925,0.4182351928080794,0.03164556962025317,0.18184045072262595,0.17440467658741457,0.22899999999999998,0.19340659340659344,0.23047065529743804,0.9026969311744466,0.8304268933960766
11670.0,0.5625375991249658,0.737898971837282,0.024975328323085102,0.3867410601379982,0.0027124773960217,0.7052729054239628,0.22603229315358445,0.018000000000000002,0.13626373626373628,0.9974730705718002,0.19651857799188122,0.8968108271594374
11671.0,0.06037735849056604,0.2858471166741171,0.08160631594929023,0.10715266539539892,0.0108499095840868,0.07081140464826265,0.0585840845233584,0.024,0.1406593406593407,0.837785822162914,0.4697354922164152,0.2273436285292559
11672.0,0.20473065354115394,0.2465713008493518,0.022090639945342747,0.4212173448916293,0.02396021699819168,0.18238047165539611,0.17492263937184743,0.23399999999999999,0.19560439560439563,0.23047065529743804,0.9026969311744466,0.8360978381255724
11673.0,0.20615258408531584,0.2465713008493518,0.021179685720792533,0.42414208822018895,0.023508137432188065,0.18289822368372216,0.17541920035813652,0.219,0.19560439560439563,0.23047065529743804,0.9026969311744466,0.8411539389816435
11674.0,0.001175827180749248,0.08874385337505587,0.004858422530934488,0.006721479097782625,0.0004520795660036166,0.0008926119198022521,0.0023786920556132596,0.016,0.16923076923076924,0.740707657771452,0.6468313707123485,0.026489349862004023
11675.0,0.20749248017500682,0.2465713008493518,0.02277385561375541,0.4268992600476958,0.022151898734177215,0.18345494629482545,0.1759531654044842,0.19,0.19560439560439563,0.23047065529743804,0.9026969311744466,0.8451714747457568
11676.0,0.20918785890073832,0.2465713008493518,0.024140286950580736,0.4303872298103494,0.02802893309222423,0.18404507226259492,0.17651913497466148,0.223,0.19780219780219782,0.23047065529743804,0.9026969311744466,0.8493955563670105
11677.0,0.011566858080393766,0.4480375502905677,0.05708646473848023,0.01309695407765077,0.0081374321880651,0.009219326439870246,0.004866258396278836,0.027999999999999997,0.17142857142857143,0.6905804298130533,0.8446434943574559,0.05811379238619031
11678.0,0.2104730653541154,0.2465713008493518,0.03545130190541259,0.4330311357158484,0.021247739602169982,0.184911703793879,0.17735036903375792,0.122,0.19780219780219782,0.23047065529743804,0.9026969311744466,0.853915596734116
11679.0,0.211402789171452,0.2465713008493518,0.03461626053290823,0.4349442436862006,0.015370705244122965,0.185757922162756,0.1781619684156583,0.094,0.19780219780219782,0.23047065529743804,0.9026969311744466,0.8564977325808478
